parameter,reaction,metabolite
km_product2_GLNS,GLNS,gln__L_c
km_substrate3_GLNS,GLNS,atp_c
km_product3_GLNS,GLNS,adp_c
km_substrate_GLNt2r,GLNt2r,gln__L_e
km_product_GLNt2r,GLNt2r,gln__L_c
km_substrate_GLUDC,GLUDC,glu__L_c
km_product1_GLUDC,GLUDC,co2_c
km_product2_GLUDC,GLUDC,_4abut_c
km_substrate1_GLUDxi,GLUDxi,nad_c
km_product1_GLUDxi,GLUDxi,nh4_c
km_substrate2_GLUDxi,GLUDxi,glu__L_c
km_product2_GLUDxi,GLUDxi,nadh_c
km_product3_GLUDxi,GLUDxi,akg_c
km_substrate1_GLUDy,GLUDy,nh4_c
km_product1_GLUDy,GLUDy,nadp_c
km_substrate2_GLUDy,GLUDy,nadph_c
km_product2_GLUDy,GLUDy,glu__L_c
km_substrate3_GLUDy,GLUDy,akg_c
km_substrate_GLUN,GLUN,gln__L_c
km_product1_GLUN,GLUN,nh4_c
km_product2_GLUN,GLUN,glu__L_c
km_substrate1_GLUPRT,GLUPRT,prpp_c
km_product1_GLUPRT,GLUPRT,pram_c
km_substrate2_GLUPRT,GLUPRT,gln__L_c
km_product2_GLUPRT,GLUPRT,ppi_c
km_product3_GLUPRT,GLUPRT,glu__L_c
km_substrate1_GLUSx,GLUSx,nadh_c
km_product1_GLUSx,GLUSx,glu__L_c
km_substrate2_GLUSx,GLUSx,gln__L_c
km_product2_GLUSx,GLUSx,nad_c
km_substrate3_GLUSx,GLUSx,akg_c
km_substrate_GLUt2r,GLUt2r,glu__L_e
km_product_GLUt2r,GLUt2r,glu__L_c
km_substrate_GLUt7m,GLUt7m,glu__L_c
km_product_GLUt7m,GLUt7m,glu__L_m
km_substrate_GLXt,GLXt,glx_c
km_product_GLXt,GLXt,glx_e
km_substrate1_GLYK,GLYK,nadph_c
km_product1_GLYK,GLYK,pi_c
km_substrate2_GLYK,GLYK,g3p_c
km_product2_GLYK,GLYK,nadp_c
km_substrate3_GLYK,GLYK,atp_c
km_product3_GLYK,GLYK,glyc_c
km_product4_GLYK,GLYK,adp_c
km_substrate_GLYOX,GLYOX,lgt__S_c
km_product1_GLYOX,GLYOX,lac__D_c
km_product2_GLYOX,GLYOX,gthrd_c
km_substrate_GLYOX3,GLYOX3,lac__D_c
km_product_GLYOX3,GLYOX3,mthgxl_c
km_substrate_GLYt2r,GLYt2r,gly_e
km_product_GLYt2r,GLYt2r,gly_c
km_substrate_GLYtm,GLYtm,gly_c
km_product_GLYtm,GLYtm,gly_m
km_substrate1_GMPS2,GMPS2,xmp_c
km_product1_GMPS2,GMPS2,ppi_c
km_substrate2_GMPS2,GMPS2,gln__L_c
km_product2_GMPS2,GMPS2,gmp_c
km_substrate3_GMPS2,GMPS2,atp_c
km_product3_GMPS2,GMPS2,glu__L_c
km_product4_GMPS2,GMPS2,amp_c
km_substrate1_GND,GND,nadp_c
km_product1_GND,GND,ru5p__D_c
km_substrate2_GND,GND,_6pgc_c
km_product2_GND,GND,nadph_c
km_product3_GND,GND,co2_c
km_substrate1_GNK,GNK,glcn_c
km_product1_GNK,GNK,adp_c
km_substrate2_GNK,GNK,atp_c
km_product2_GNK,GNK,_6pgc_c
km_substrate1_GSNK,GSNK,gsn_c
km_product1_GSNK,GSNK,gmp_c
km_substrate2_GSNK,GSNK,atp_c
km_product2_GSNK,GSNK,adp_c
km_substrate1_GUAPRT,GUAPRT,prpp_c
km_product1_GUAPRT,GUAPRT,ppi_c
km_substrate2_GUAPRT,GUAPRT,gua_c
km_product2_GUAPRT,GUAPRT,gmp_c
km_substrate_HCO3E,HCO3E,co2_c
km_product_HCO3E,HCO3E,hco3_c
km_substrate1_HEMEOSm,HEMEOSm,pheme_m
km_product1_HEMEOSm,HEMEOSm,ppi_m
km_substrate2_HEMEOSm,HEMEOSm,frdp_m
km_product2_HEMEOSm,HEMEOSm,hemeO_m
km_substrate1_HEX1,HEX1,glc__D_c
km_product1_HEX1,HEX1,g6p_c
km_substrate2_HEX1,HEX1,atp_c
km_product2_HEX1,HEX1,adp_c
km_substrate_HISTP,HISTP,hisp_c
km_product1_HISTP,HISTP,pi_c
km_product2_HISTP,HISTP,histd_c
km_substrate1_HOMSYN2,HOMSYN2,akg_m
km_product1_HOMSYN2,HOMSYN2,s_0834_m
km_substrate2_HOMSYN2,HOMSYN2,accoa_m
km_product2_HOMSYN2,HOMSYN2,coa_m
km_substrate1_HSTPT,HSTPT,imacp_c
km_product1_HSTPT,HSTPT,hisp_c
km_substrate2_HSTPT,HSTPT,glu__L_c
km_product2_HSTPT,HSTPT,akg_c
km_substrate_Ht,Ht,h_e
km_product_Ht,Ht,h_c
km_substrate_Htce,Htce,h_c
km_product_Htce,Htce,h_ce
km_substrate_Htg,Htg,h_c
km_product_Htg,Htg,h_g
km_substrate_Htgm,Htgm,h_c
km_product_Htgm,Htgm,h_gm
km_substrate_Htm,Htm,h_c
km_product_Htm,Htm,h_m
km_substrate_Htr,Htr,h_c
km_product_Htr,Htr,h_er
km_substrate_Htrm,Htrm,h_c
km_product_Htrm,Htrm,h_erm
km_substrate_Htv,Htv,h_c
km_product_Htv,Htv,h_v
km_substrate1_ICDHxm,ICDHxm,nad_m
km_product1_ICDHxm,ICDHxm,nadh_m
km_substrate2_ICDHxm,ICDHxm,icit_m
km_product2_ICDHxm,ICDHxm,co2_m
km_product3_ICDHxm,ICDHxm,akg_m
km_substrate1_ICDHym,ICDHym,nadp_m
km_product1_ICDHym,ICDHym,nadph_m
km_substrate2_ICDHym,ICDHym,icit_m
km_product2_ICDHym,ICDHym,co2_m
km_product3_ICDHym,ICDHym,akg_m
km_substrate1_ICDHyr,ICDHyr,nadp_c
km_product1_ICDHyr,ICDHyr,nadph_c
km_substrate2_ICDHyr,ICDHyr,icit_c
km_product2_ICDHyr,ICDHyr,co2_c
km_product3_ICDHyr,ICDHyr,akg_c
km_substrate_ICL,ICL,icit_c
km_product1_ICL,ICL,succ_c
km_product2_ICL,ICL,glx_c
km_substrate_ID3ACALDt,ID3ACALDt,id3acald_c
km_product_ID3ACALDt,ID3ACALDt,id3acald_e
km_substrate_ID3ACALDtm,ID3ACALDtm,id3acald_c
km_product_ID3ACALDtm,ID3ACALDtm,id3acald_m
km_substrate1_IG3PS,IG3PS,prlp_c
km_product1_IG3PS,IG3PS,glu__L_c
km_substrate2_IG3PS,IG3PS,gln__L_c
km_product2_IG3PS,IG3PS,eig3p_c
km_product3_IG3PS,IG3PS,aicar_c
km_substrate_IGPDH,IGPDH,eig3p_c
km_product_IGPDH,IGPDH,imacp_c
km_substrate_IGPS,IGPS,_2cpr5p_c
km_product1_IGPS,IGPS,co2_c
km_product2_IGPS,IGPS,_3ig3p_c
km_substrate1_ILETA,ILETA,ile__L_c
km_product1_ILETA,ILETA,glu__L_c
km_substrate2_ILETA,ILETA,akg_c
km_product2_ILETA,ILETA,_3mop_c
km_substrate1_ILETAm,ILETAm,ile__L_m
km_product1_ILETAm,ILETAm,glu__L_m
km_substrate2_ILETAm,ILETAm,akg_m
km_product2_ILETAm,ILETAm,_3mop_m
km_substrate_ILEtmi,ILEtmi,ile__L_m
km_product_ILEtmi,ILEtmi,ile__L_c
km_substrate1_IMPD,IMPD,nad_c
km_product1_IMPD,IMPD,xmp_c
km_substrate2_IMPD,IMPD,imp_c
km_product2_IMPD,IMPD,nadh_c
